i,coefficient,Down,NotSig,Up,SigF
1,C_1R_1N,0,15511,0,NA
2,C_3R_3N,853,14209,449,NA
3,C_3R_1R,2314,9939,3258,NA
4,C_3N_1N,330,14885,296,NA
5,C_(3R_1R)_(3N_1N),147,15332,32,NA
6,visit_responder.week_0_Primary_NonResponse,760,1385,13366,NA
7,visit_responder.week_0_Primary_Response,789,1368,13354,NA
8,visit_responder.week_14_Primary_NonResponse,699,1442,13370,NA
9,visit_responder.week_14_Primary_Response,697,1408,13406,NA
10,visit_responder.week_30_Primary_NonResponse,700,1495,13316,NA
11,visit_responder.week_30_Primary_Response,705,1421,13385,NA
12,visit_responder.week_54_Primary_NonResponse,629,1664,13218,NA
13,visit_responder.week_54_Primary_Response,672,1497,13342,NA
14,Drug_Genericinfliximab,40,15441,30,NA
15,SexMALE,338,14953,220,NA
16,Age_of_Onset,2237,11092,2182,NA
17,Disease_Duration,679,14508,324,NA
18,Smoking_HistoryEx,70,15423,18,NA
19,Smoking_HistoryNever,293,15102,116,NA
20,Crohns_SurgeryTRUE,2,15509,0,NA
21,On_Immunomodulator_At_BaselineTRUE,696,14210,605,NA
22,On_Steroids_At_BaselineTRUE,0,15511,0,NA
23,Earliest_BMI,3,15506,2,NA
24,CD8T,4474,5508,5529,NA
25,CD4T,5993,2201,7317,NA
26,Bcell,2111,11550,1850,NA
27,Mono,4976,5514,5021,NA
28,NK,4468,6298,4745,NA
29,Library_Prep_ProtocolOld,418,13566,1527,NA
