GENEID,E_mean,cluster,SYMBOL,significant_spline,significant_1,significant_3,significant_3_1,spline_only
ENSG00000235750,0.5567810748813161,1,KIAA0040,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000068784,-0.35400196709400644,1,SRBD1,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000184500,0.1703079566050263,1,PROS1,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000082781,0.13853271876494683,1,ITGB5,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000213949,0.34060409559924576,1,ITGA1,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000096006,1.010917372978934,1,CRISP3,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000102362,-0.08789672412130939,1,SYTL4,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000120885,0.5506966969554393,1,CLU,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000148110,0.8348108632627786,1,MFSD14B,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000137509,0.23381609773492099,1,PRCP,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000100938,0.5112183356372288,1,GMPR2,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000141480,0.5703412648471679,1,ARRB2,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000185245,-0.10300180728938718,1,GP1BA,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000168610,0.40804083886237935,1,STAT3,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000269981,1.0872301084983527,1,AL627309.7,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000162551,1.3807188969457955,1,ALPL,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000076864,0.9879518754959495,1,RAP1GAP,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000162645,-0.2678225466329579,1,GBP2,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000198019,0.79435513648455,1,FCGR1B,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000265531,0.7540747872007737,1,FCGR1CP,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000150337,0.8282072261678715,1,FCGR1A,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000160785,1.0905340507819028,1,SLC25A44,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000163568,1.0093485117831191,1,AIM2,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000198216,1.1026130971606463,1,CACNA1E,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000187554,1.3237557234484878,1,TLR5,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000143771,1.048270251107858,1,CNIH4,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000143797,1.0245703734198452,1,MBOAT2,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000158089,1.4359729378738073,1,GALNT14,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000115956,0.8586639761623789,1,PLEK,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000135636,1.2098934780485582,1,DYSF,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000224789,0.30291932264182403,1,AC012363.1,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000160796,1.0491815107725122,1,NBEAL2,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000163932,1.180705326696479,1,PRKCD,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000144848,0.3114679417938739,1,ATG3,TRUE,FALSE,TRUE,TRUE,FALSE
